SESDATE,APPTIME,SLOT,DC
20230804,1455,1,DURHAM
20230729,900,1,DURHAM
20230816,1215,1,DURHAM
20230921,1205,1,DURHAM
20230712,1305,2,DURHAM
20230713,1630,2,DURHAM
20230916,1320,1,DURHAM
20230704,1400,1,DURHAM
20230914,1335,1,DURHAM
20230927,1155,1,DURHAM
20230818,1120,1,DURHAM
20230822,1715,1,DURHAM
20230707,855,1,DURHAM
20230728,1550,1,DURHAM
20230819,1130,1,DURHAM
20230819,1550,1,DURHAM
20230816,1315,1,DURHAM
20230719,1205,1,DURHAM
20230819,950,1,DURHAM
20230715,1400,2,DURHAM
20230707,1410,1,DURHAM
20230706,1320,1,DURHAM
20230825,845,1,DURHAM
20230913,1750,1,DURHAM
20230913,1800,1,DURHAM
20230817,1550,1,DURHAM
20230905,1700,1,DURHAM
20230831,1530,1,DURHAM
20230704,1815,1,DURHAM
20230826,1050,1,DURHAM
20230715,925,1,DURHAM
20231030,1410,1,DURHAM
20230812,1110,1,DURHAM
20230921,1405,1,DURHAM
20230829,1145,2,DURHAM
20230905,1815,1,DURHAM
20230930,1020,1,DURHAM
20230815,1130,1,DURHAM
20230928,1625,1,DURHAM
20230927,1245,1,DURHAM
20230714,1050,1,DURHAM
20230722,850,1,DURHAM
20230718,1610,1,DURHAM
20230718,1615,2,DURHAM
20230819,1410,1,DURHAM
20230708,1025,1,DURHAM
20230704,1810,1,DURHAM
20230805,1110,1,DURHAM
20230819,1420,1,DURHAM
20230817,1350,1,DURHAM
20230822,1620,1,DURHAM
20230926,1740,1,DURHAM
20230719,1750,2,DURHAM
20230722,940,1,DURHAM
20230816,1530,1,DURHAM
20230711,1710,1,DURHAM
20230724,1535,1,DURHAM
20230714,1000,1,DURHAM
20230811,1455,1,DURHAM
20230708,1315,1,DURHAM
20230816,1630,2,DURHAM
20230905,1640,1,DURHAM
20230930,1320,1,DURHAM
20230706,1220,1,DURHAM
20230707,1520,1,DURHAM
20230921,1335,1,DURHAM
20230926,1635,1,DURHAM
20230920,1145,1,DURHAM
20230816,1640,1,DURHAM
20230923,900,1,DURHAM
20230704,1650,1,DURHAM
20230930,1430,1,DURHAM
20230708,1125,1,DURHAM
20230729,915,1,DURHAM
20230923,1420,1,DURHAM
20230928,1745,1,DURHAM
20230818,1540,1,DURHAM
20230722,910,1,DURHAM
20230715,1045,1,DURHAM
20230810,1325,1,DURHAM
20230803,1640,1,DURHAM
20230809,1215,1,DURHAM
20230930,840,1,DURHAM
20230724,1510,1,DURHAM
20230724,1120,1,DURHAM
20230913,1320,1,DURHAM
20230705,1615,1,DURHAM
20230802,1205,1,DURHAM
20230817,1540,1,DURHAM
20230724,825,1,DURHAM
20230826,935,1,DURHAM
20230715,1125,1,DURHAM
20230816,1205,1,DURHAM
20230707,1500,1,DURHAM
20230927,1315,1,DURHAM
20230729,1345,1,DURHAM
20230803,1700,1,DURHAM
20230714,1425,1,DURHAM
20230728,1535,1,DURHAM
20230821,1055,1,DURHAM
20230711,1330,1,DURHAM
20230802,1240,1,DURHAM
20230728,1410,1,DURHAM
20230829,1550,1,DURHAM
20230803,1250,1,DURHAM
20230920,1750,1,DURHAM
20230909,1440,1,DURHAM
20230808,1750,1,DURHAM
20230923,950,1,DURHAM
20230707,1420,2,DURHAM
20230922,925,1,DURHAM
20230704,1635,1,DURHAM
20230704,1610,1,DURHAM
20230927,1140,1,DURHAM
20230831,1815,1,DURHAM
20230916,1345,1,DURHAM
20230801,1250,1,DURHAM
20230721,1020,1,DURHAM
20230825,850,1,DURHAM
20230829,1805,1,DURHAM
20230914,1735,1,DURHAM
20230831,1830,1,DURHAM
20230817,1620,1,DURHAM
20230804,1510,1,DURHAM
20230808,1835,1,DURHAM
20230726,1125,2,DURHAM
20230803,1650,2,DURHAM
20230830,1145,1,DURHAM
20230926,1605,1,DURHAM
20230920,1245,1,DURHAM
20230810,1635,1,DURHAM
20230928,1340,1,DURHAM
20230722,1440,1,DURHAM
20230715,840,1,DURHAM
20230712,1610,2,DURHAM
20230902,910,1,DURHAM
20230908,945,1,DURHAM
20230712,1630,1,DURHAM
20230803,1710,1,DURHAM
20230812,1100,1,DURHAM
20230908,1020,1,DURHAM
20230714,1325,1,DURHAM
20230704,1245,2,DURHAM
20230916,1005,1,DURHAM
20230916,1425,1,DURHAM
20230829,1755,1,DURHAM
20230722,820,1,DURHAM
20230803,1550,1,DURHAM
20230711,1655,1,DURHAM
20230922,930,1,DURHAM
20230905,1540,1,DURHAM
20230715,1355,1,DURHAM
20230826,830,1,DURHAM
20230915,1335,1,DURHAM
20230902,1515,2,DURHAM
20230819,1020,1,DURHAM
20230729,1300,2,DURHAM
20230707,1045,1,DURHAM
20230822,1750,1,DURHAM
20230819,1255,1,DURHAM
20230902,1540,1,DURHAM
20230815,1830,1,DURHAM
20230728,825,1,DURHAM
20230831,1100,1,DURHAM
20230726,1815,2,DURHAM
20230914,1405,1,DURHAM
20230728,1540,1,DURHAM
20230921,1140,1,DURHAM
20230721,1105,1,DURHAM
20230826,1340,1,DURHAM
20230719,1305,2,DURHAM
20230712,1715,1,DURHAM
20230919,1130,1,DURHAM
20230726,1710,1,DURHAM
20230720,1745,1,DURHAM
20230819,1520,1,DURHAM
20230908,915,1,DURHAM
20230905,1800,1,DURHAM
20230831,1150,1,DURHAM
20230729,1530,1,DURHAM
20230720,1635,1,DURHAM
20230808,1210,1,DURHAM
20230721,1120,1,DURHAM
20230728,850,1,DURHAM
20230825,1000,1,DURHAM
20230809,1150,1,DURHAM
20230825,825,1,DURHAM
20230706,1240,1,DURHAM
20230725,1750,2,DURHAM
20230801,1345,1,DURHAM
20230713,1120,1,DURHAM
20230722,1415,1,DURHAM
20230830,1125,1,DURHAM
20230803,1210,2,DURHAM
20230825,1300,1,DURHAM
20230809,1340,1,DURHAM
20230821,1505,1,DURHAM
20230829,1210,1,DURHAM
20230923,1535,1,DURHAM
20230928,1705,1,DURHAM
20230705,1635,1,DURHAM
20230912,1240,1,DURHAM
20230808,1120,2,DURHAM
20230801,1750,1,DURHAM
20230829,1835,1,DURHAM
20230706,1130,2,DURHAM
20230830,1615,1,DURHAM
20230805,900,1,DURHAM
20230831,1305,1,DURHAM
20230816,1825,1,DURHAM
20230912,1540,1,DURHAM
20230729,925,1,DURHAM
20230802,1125,2,DURHAM
20230919,1540,1,DURHAM
20230708,940,1,DURHAM
20230720,1630,1,DURHAM
20230909,850,1,DURHAM
20230914,1725,1,DURHAM
20230817,1405,1,DURHAM
20230708,900,2,DURHAM
20230815,1545,1,DURHAM
20230720,1830,1,DURHAM
20230707,910,1,DURHAM
20230708,1455,1,DURHAM
20230922,1340,1,DURHAM
20230804,1410,1,DURHAM
20230714,1120,1,DURHAM
20230802,1300,1,DURHAM
20230927,1815,1,DURHAM
20230714,950,2,DURHAM
20230929,1030,1,DURHAM
20230714,950,1,DURHAM
20230708,1255,1,DURHAM
20230811,1250,1,DURHAM
20230708,1325,1,DURHAM
20230822,1340,1,DURHAM
20230913,1620,1,DURHAM
20230805,950,1,DURHAM
20230810,1530,1,DURHAM
20230718,1655,1,DURHAM
20230811,1310,1,DURHAM
20230919,1750,1,DURHAM
20230830,1655,2,DURHAM
20230908,1530,1,DURHAM
20230927,1600,1,DURHAM
20230913,1140,1,DURHAM
20230916,1515,2,DURHAM
20230817,1135,1,DURHAM
20230815,1150,1,DURHAM
20230711,1615,1,DURHAM
20230920,1600,1,DURHAM
20230804,1505,1,DURHAM
20230912,1830,1,DURHAM
20230830,1245,1,DURHAM
20230831,1835,1,DURHAM
20230922,1050,2,DURHAM
20230921,1750,1,DURHAM
20230909,855,1,DURHAM
20230906,1155,1,DURHAM
20230810,1615,1,DURHAM
20230902,1105,2,DURHAM
20230826,1435,1,DURHAM
20230902,1455,1,DURHAM
20230905,1245,1,DURHAM
20230912,1225,1,DURHAM
20230729,1340,1,DURHAM
20230929,1350,1,DURHAM
20230803,1220,1,DURHAM
20230722,1005,1,DURHAM
20230802,1710,1,DURHAM
20230908,1320,1,DURHAM
20230920,1630,1,DURHAM
20230713,1555,1,DURHAM
20230729,840,1,DURHAM
20230818,1310,1,DURHAM
20231102,1320,1,DURHAM
20230912,1120,1,DURHAM
20230923,1255,1,DURHAM
20230714,1125,1,DURHAM
20230914,1310,1,DURHAM
20230812,950,1,DURHAM
20230809,1535,1,DURHAM
20230913,1815,1,DURHAM
20230809,1805,1,DURHAM
20230930,1030,1,DURHAM
20230914,1555,1,DURHAM
20230825,1400,1,DURHAM
20230707,1050,1,DURHAM
20230928,1135,1,DURHAM
20230817,1100,1,DURHAM
20230920,1755,1,DURHAM
20230801,1400,1,DURHAM
20230812,1055,1,DURHAM
20230815,1630,1,DURHAM
20230913,1135,1,DURHAM
20230718,1835,1,DURHAM
20230715,1425,1,DURHAM
20230704,1225,1,DURHAM
20230926,1550,1,DURHAM
20230830,1315,1,DURHAM
20230802,1120,1,DURHAM
20230920,1620,1,DURHAM
20230818,910,1,DURHAM
20230725,1635,1,DURHAM
20230719,1345,1,DURHAM
20230816,1325,1,DURHAM
20230919,1710,1,DURHAM
20230909,845,1,DURHAM
20230928,1810,1,DURHAM
20230902,1010,1,DURHAM
20230714,1250,1,DURHAM
20231221,935,1,DURHAM
20230831,1700,1,DURHAM
20230908,1305,1,DURHAM
20230825,1330,1,DURHAM
20230815,1240,2,DURHAM
20230718,1300,2,DURHAM
20230908,1130,1,DURHAM
20230902,1105,1,DURHAM
20230922,1010,1,DURHAM
20230928,1710,1,DURHAM
20230729,1350,2,DURHAM
20230915,1540,1,DURHAM
20230705,1320,1,DURHAM
20230822,1300,1,DURHAM
20230921,1825,1,DURHAM
20230929,830,1,DURHAM
20230708,1505,1,DURHAM
20230822,1600,1,DURHAM
20230808,1230,1,DURHAM
20230915,840,1,DURHAM
20230815,1310,1,DURHAM
20230801,1615,1,DURHAM
20230923,850,1,DURHAM
20230721,1330,1,DURHAM
20230707,1300,2,DURHAM
20230929,1010,1,DURHAM
20230913,1740,1,DURHAM
20230810,1205,1,DURHAM
20230928,1355,1,DURHAM
20230822,1840,1,DURHAM
20230715,1055,1,DURHAM
20230926,1600,1,DURHAM
20230816,1750,2,DURHAM
20230714,1555,1,DURHAM
20230905,1650,1,DURHAM
20230714,1510,1,DURHAM
20230817,1310,1,DURHAM
20230915,1425,1,DURHAM
20230915,1420,1,DURHAM
20230803,1345,2,DURHAM
20230916,1130,1,DURHAM
20230909,1315,1,DURHAM
20230902,1320,1,DURHAM
20230801,1245,1,DURHAM
20230805,1340,2,DURHAM
20230915,925,1,DURHAM
20230804,1520,1,DURHAM
20230712,1205,1,DURHAM
20230801,1605,1,DURHAM
20230714,1530,1,DURHAM
20230722,1425,1,DURHAM
20230711,1340,1,DURHAM
20230829,1405,1,DURHAM
20230718,1245,1,DURHAM
20230714,840,2,DURHAM
20230927,1220,1,DURHAM
20230722,930,1,DURHAM
20230830,1620,1,DURHAM
20230803,1230,2,DURHAM
20230905,1200,1,DURHAM
20230822,1125,1,DURHAM
20230718,1205,1,DURHAM
20230906,1600,1,DURHAM
20230729,1005,1,DURHAM
20230719,1200,2,DURHAM
20230721,1000,1,DURHAM
20230707,1320,1,DURHAM
20230822,1330,1,DURHAM
20230920,1740,1,DURHAM
20230930,950,1,DURHAM
20230919,1200,1,DURHAM
20230712,1555,1,DURHAM
20230908,1350,1,DURHAM
20230720,1300,1,DURHAM
20230802,1630,1,DURHAM
20230705,1715,1,DURHAM
20230729,1425,1,DURHAM
20230805,1410,1,DURHAM
20230921,1645,1,DURHAM
20230923,1005,1,DURHAM
20230718,1350,1,DURHAM
20230921,1210,1,DURHAM
20230821,1440,1,DURHAM
20230912,1300,1,DURHAM
20230714,840,1,DURHAM
20230909,1300,1,DURHAM
20230821,1100,1,DURHAM
20230801,1150,1,DURHAM
20230928,1105,1,DURHAM
20230829,1630,1,DURHAM
20230818,1315,1,DURHAM
20230905,1620,1,DURHAM
20230927,1240,1,DURHAM
20230928,1600,1,DURHAM
20230915,1010,1,DURHAM
20230825,1350,1,DURHAM
20230728,1025,1,DURHAM
20230920,1150,2,DURHAM
20230812,1325,1,DURHAM
20230728,1120,1,DURHAM
20230804,1250,1,DURHAM
20230715,1345,1,DURHAM
20230728,1300,2,DURHAM
20230805,1415,1,DURHAM
20230821,1300,1,DURHAM
20230816,1405,1,DURHAM
20230817,1810,1,DURHAM
20230815,1810,1,DURHAM
20230927,1405,1,DURHAM
20230726,1620,2,DURHAM
20230909,1340,1,DURHAM
20230818,1505,1,DURHAM
20230706,1710,1,DURHAM
20230923,1340,1,DURHAM
20230818,1520,1,DURHAM
20230913,1550,2,DURHAM
20230704,1630,1,DURHAM
20231221,1525,1,DURHAM
20230821,1515,1,DURHAM
20230720,1400,1,DURHAM
20230722,845,1,DURHAM
20230712,1810,2,DURHAM
20230921,1755,1,DURHAM
20230915,1515,1,DURHAM
20230812,1250,1,DURHAM
20230926,1345,1,DURHAM
20230908,1500,2,DURHAM
20230809,1750,2,DURHAM
20230922,845,1,DURHAM
20230919,1820,1,DURHAM
20230728,1310,1,DURHAM
20230913,1350,1,DURHAM
20230818,1110,1,DURHAM
20230707,840,1,DURHAM
20230714,1340,2,DURHAM
20230715,1040,1,DURHAM
20230821,1310,1,DURHAM
20230713,1605,1,DURHAM
20230923,1320,1,DURHAM
20230728,1030,2,DURHAM
20230922,1105,1,DURHAM
20230822,1740,1,DURHAM
20230926,1620,1,DURHAM
20230908,1325,1,DURHAM
20230902,1040,1,DURHAM
20230829,1345,1,DURHAM
20230724,1505,1,DURHAM
20230913,1650,1,DURHAM
20230906,1530,1,DURHAM
20230928,1755,1,DURHAM
